Year,UNIT_MEASURE,Admin_Area,Пол,Value
2010,Број,federation_of_bih,Оба пола,10096.0
2011,Број,federation_of_bih,Оба пола,11350.0
2012,Број,federation_of_bih,Оба пола,11209.0
2013,Број,federation_of_bih,Оба пола,12231.0
2014,Број,federation_of_bih,Оба пола,13491.0
2015,Број,federation_of_bih,Оба пола,12183.0
2016,Број,federation_of_bih,Оба пола,11846.0
2017,Број,federation_of_bih,Оба пола,12149.0
2018,Број,federation_of_bih,Оба пола,12060.0
2019,Број,federation_of_bih,Оба пола,11747.0
2010,Број,federation_of_bih,M,
2011,Број,federation_of_bih,M,
2012,Број,federation_of_bih,M,
2013,Број,federation_of_bih,M,
2014,Број,federation_of_bih,M,
2015,Број,federation_of_bih,M,
2016,Број,federation_of_bih,M,
2017,Број,federation_of_bih,M,
2018,Број,federation_of_bih,M,
2019,Број,federation_of_bih,M,
2010,Број,federation_of_bih,Ж,
2011,Број,federation_of_bih,Ж,
2012,Број,federation_of_bih,Ж,
2013,Број,federation_of_bih,Ж,
2014,Број,federation_of_bih,Ж,
2015,Број,federation_of_bih,Ж,
2016,Број,federation_of_bih,Ж,
2017,Број,federation_of_bih,Ж,
2018,Број,federation_of_bih,Ж,
2019,Број,federation_of_bih,Ж,
2010,Број,una-sana_canton,Оба пола,553.0
2011,Број,una-sana_canton,Оба пола,787.0
2012,Број,una-sana_canton,Оба пола,574.0
2013,Број,una-sana_canton,Оба пола,868.0
2014,Број,una-sana_canton,Оба пола,728.0
2015,Број,una-sana_canton,Оба пола,610.0
2016,Број,una-sana_canton,Оба пола,608.0
2017,Број,una-sana_canton,Оба пола,456.0
2018,Број,una-sana_canton,Оба пола,499.0
2019,Број,una-sana_canton,Оба пола,423.0
2010,Број,una-sana_canton,M,
2011,Број,una-sana_canton,M,
2012,Број,una-sana_canton,M,
2013,Број,una-sana_canton,M,
2014,Број,una-sana_canton,M,
2015,Број,una-sana_canton,M,
2016,Број,una-sana_canton,M,
2017,Број,una-sana_canton,M,
2018,Број,una-sana_canton,M,
2019,Број,una-sana_canton,M,
2010,Број,una-sana_canton,Ж,
2011,Број,una-sana_canton,Ж,
2012,Број,una-sana_canton,Ж,
2013,Број,una-sana_canton,Ж,
2014,Број,una-sana_canton,Ж,
2015,Број,una-sana_canton,Ж,
2016,Број,una-sana_canton,Ж,
2017,Број,una-sana_canton,Ж,
2018,Број,una-sana_canton,Ж,
2019,Број,una-sana_canton,Ж,
2010,Број,tuzla_canton,Оба пола,1187.0
2011,Број,tuzla_canton,Оба пола,1957.0
2012,Број,tuzla_canton,Оба пола,1970.0
2013,Број,tuzla_canton,Оба пола,2049.0
2014,Број,tuzla_canton,Оба пола,2001.0
2015,Број,tuzla_canton,Оба пола,1902.0
2016,Број,tuzla_canton,Оба пола,1681.0
2017,Број,tuzla_canton,Оба пола,1533.0
2018,Број,tuzla_canton,Оба пола,1428.0
2019,Број,tuzla_canton,Оба пола,1520.0
2010,Број,tuzla_canton,M,
2011,Број,tuzla_canton,M,
2012,Број,tuzla_canton,M,
2013,Број,tuzla_canton,M,
2014,Број,tuzla_canton,M,
2015,Број,tuzla_canton,M,
2016,Број,tuzla_canton,M,
2017,Број,tuzla_canton,M,
2018,Број,tuzla_canton,M,
2019,Број,tuzla_canton,M,
2010,Број,tuzla_canton,Ж,
2011,Број,tuzla_canton,Ж,
2012,Број,tuzla_canton,Ж,
2013,Број,tuzla_canton,Ж,
2014,Број,tuzla_canton,Ж,
2015,Број,tuzla_canton,Ж,
2016,Број,tuzla_canton,Ж,
2017,Број,tuzla_canton,Ж,
2018,Број,tuzla_canton,Ж,
2019,Број,tuzla_canton,Ж,
2010,Број,zenica-doboj_canton,Оба пола,462.0
2011,Број,zenica-doboj_canton,Оба пола,490.0
2012,Број,zenica-doboj_canton,Оба пола,567.0
2013,Број,zenica-doboj_canton,Оба пола,643.0
2014,Број,zenica-doboj_canton,Оба пола,654.0
2015,Број,zenica-doboj_canton,Оба пола,343.0
2016,Број,zenica-doboj_canton,Оба пола,457.0
2017,Број,zenica-doboj_canton,Оба пола,445.0
2018,Број,zenica-doboj_canton,Оба пола,508.0
2019,Број,zenica-doboj_canton,Оба пола,519.0
2010,Број,zenica-doboj_canton,M,
2011,Број,zenica-doboj_canton,M,
2012,Број,zenica-doboj_canton,M,
2013,Број,zenica-doboj_canton,M,
2014,Број,zenica-doboj_canton,M,
2015,Број,zenica-doboj_canton,M,
2016,Број,zenica-doboj_canton,M,
2017,Број,zenica-doboj_canton,M,
2018,Број,zenica-doboj_canton,M,
2019,Број,zenica-doboj_canton,M,
2010,Број,zenica-doboj_canton,Ж,
2011,Број,zenica-doboj_canton,Ж,
2012,Број,zenica-doboj_canton,Ж,
2013,Број,zenica-doboj_canton,Ж,
2014,Број,zenica-doboj_canton,Ж,
2015,Број,zenica-doboj_canton,Ж,
2016,Број,zenica-doboj_canton,Ж,
2017,Број,zenica-doboj_canton,Ж,
2018,Број,zenica-doboj_canton,Ж,
2019,Број,zenica-doboj_canton,Ж,
2010,Број,bosnian-podrinje_canton,Оба пола,0.0
2011,Број,bosnian-podrinje_canton,Оба пола,0.0
2012,Број,bosnian-podrinje_canton,Оба пола,0.0
2013,Број,bosnian-podrinje_canton,Оба пола,0.0
2014,Број,bosnian-podrinje_canton,Оба пола,0.0
2015,Број,bosnian-podrinje_canton,Оба пола,0.0
2016,Број,bosnian-podrinje_canton,Оба пола,0.0
2017,Број,bosnian-podrinje_canton,Оба пола,0.0
2018,Број,bosnian-podrinje_canton,Оба пола,18.0
2019,Број,bosnian-podrinje_canton,Оба пола,44.0
2010,Број,bosnian-podrinje_canton,M,
2011,Број,bosnian-podrinje_canton,M,
2012,Број,bosnian-podrinje_canton,M,
2013,Број,bosnian-podrinje_canton,M,
2014,Број,bosnian-podrinje_canton,M,
2015,Број,bosnian-podrinje_canton,M,
2016,Број,bosnian-podrinje_canton,M,
2017,Број,bosnian-podrinje_canton,M,
2018,Број,bosnian-podrinje_canton,M,
2019,Број,bosnian-podrinje_canton,M,
2010,Број,bosnian-podrinje_canton,Ж,
2011,Број,bosnian-podrinje_canton,Ж,
2012,Број,bosnian-podrinje_canton,Ж,
2013,Број,bosnian-podrinje_canton,Ж,
2014,Број,bosnian-podrinje_canton,Ж,
2015,Број,bosnian-podrinje_canton,Ж,
2016,Број,bosnian-podrinje_canton,Ж,
2017,Број,bosnian-podrinje_canton,Ж,
2018,Број,bosnian-podrinje_canton,Ж,
2019,Број,bosnian-podrinje_canton,Ж,
2010,Број,central_bosnia_canton,Оба пола,168.0
2011,Број,central_bosnia_canton,Оба пола,260.0
2012,Број,central_bosnia_canton,Оба пола,148.0
2013,Број,central_bosnia_canton,Оба пола,546.0
2014,Број,central_bosnia_canton,Оба пола,1030.0
2015,Број,central_bosnia_canton,Оба пола,898.0
2016,Број,central_bosnia_canton,Оба пола,1110.0
2017,Број,central_bosnia_canton,Оба пола,1277.0
2018,Број,central_bosnia_canton,Оба пола,1548.0
2019,Број,central_bosnia_canton,Оба пола,1318.0
2010,Број,central_bosnia_canton,M,
2011,Број,central_bosnia_canton,M,
2012,Број,central_bosnia_canton,M,
2013,Број,central_bosnia_canton,M,
2014,Број,central_bosnia_canton,M,
2015,Број,central_bosnia_canton,M,
2016,Број,central_bosnia_canton,M,
2017,Број,central_bosnia_canton,M,
2018,Број,central_bosnia_canton,M,
2019,Број,central_bosnia_canton,M,
2010,Број,central_bosnia_canton,Ж,
2011,Број,central_bosnia_canton,Ж,
2012,Број,central_bosnia_canton,Ж,
2013,Број,central_bosnia_canton,Ж,
2014,Број,central_bosnia_canton,Ж,
2015,Број,central_bosnia_canton,Ж,
2016,Број,central_bosnia_canton,Ж,
2017,Број,central_bosnia_canton,Ж,
2018,Број,central_bosnia_canton,Ж,
2019,Број,central_bosnia_canton,Ж,
2010,Број,herzegovina-neretva_canton,Оба пола,2059.0
2011,Број,herzegovina-neretva_canton,Оба пола,2273.0
2012,Број,herzegovina-neretva_canton,Оба пола,2435.0
2013,Број,herzegovina-neretva_canton,Оба пола,2441.0
2014,Број,herzegovina-neretva_canton,Оба пола,2969.0
2015,Број,herzegovina-neretva_canton,Оба пола,3097.0
2016,Број,herzegovina-neretva_canton,Оба пола,2783.0
2017,Број,herzegovina-neretva_canton,Оба пола,2789.0
2018,Број,herzegovina-neretva_canton,Оба пола,2943.0
2019,Број,herzegovina-neretva_canton,Оба пола,2638.0
2010,Број,herzegovina-neretva_canton,M,
2011,Број,herzegovina-neretva_canton,M,
2012,Број,herzegovina-neretva_canton,M,
2013,Број,herzegovina-neretva_canton,M,
2014,Број,herzegovina-neretva_canton,M,
2015,Број,herzegovina-neretva_canton,M,
2016,Број,herzegovina-neretva_canton,M,
2017,Број,herzegovina-neretva_canton,M,
2018,Број,herzegovina-neretva_canton,M,
2019,Број,herzegovina-neretva_canton,M,
2010,Број,herzegovina-neretva_canton,Ж,
2011,Број,herzegovina-neretva_canton,Ж,
2012,Број,herzegovina-neretva_canton,Ж,
2013,Број,herzegovina-neretva_canton,Ж,
2014,Број,herzegovina-neretva_canton,Ж,
2015,Број,herzegovina-neretva_canton,Ж,
2016,Број,herzegovina-neretva_canton,Ж,
2017,Број,herzegovina-neretva_canton,Ж,
2018,Број,herzegovina-neretva_canton,Ж,
2019,Број,herzegovina-neretva_canton,Ж,
2010,Број,sarajevo_canton,Оба пола,5667.0
2011,Број,sarajevo_canton,Оба пола,5583.0
2012,Број,sarajevo_canton,Оба пола,5515.0
2013,Број,sarajevo_canton,Оба пола,5684.0
2014,Број,sarajevo_canton,Оба пола,6109.0
2015,Број,sarajevo_canton,Оба пола,5333.0
2016,Број,sarajevo_canton,Оба пола,5207.0
2017,Број,sarajevo_canton,Оба пола,5649.0
2018,Број,sarajevo_canton,Оба пола,5116.0
2019,Број,sarajevo_canton,Оба пола,5285.0
2010,Број,sarajevo_canton,M,
2011,Број,sarajevo_canton,M,
2012,Број,sarajevo_canton,M,
2013,Број,sarajevo_canton,M,
2014,Број,sarajevo_canton,M,
2015,Број,sarajevo_canton,M,
2016,Број,sarajevo_canton,M,
2017,Број,sarajevo_canton,M,
2018,Број,sarajevo_canton,M,
2019,Број,sarajevo_canton,M,
2010,Број,sarajevo_canton,Ж,
2011,Број,sarajevo_canton,Ж,
2012,Број,sarajevo_canton,Ж,
2013,Број,sarajevo_canton,Ж,
2014,Број,sarajevo_canton,Ж,
2015,Број,sarajevo_canton,Ж,
2016,Број,sarajevo_canton,Ж,
2017,Број,sarajevo_canton,Ж,
2018,Број,sarajevo_canton,Ж,
2019,Број,sarajevo_canton,Ж,
